date,source,title,url,category,importance,summary
2026-06-24,AP Middle East,Iran fires missiles and US strikes Iran facility after reports of faltering peace talks,https://apnews.com/article/iran-us-israel-war-2-june-2026-9bde9a3425d4b9ff70f157bdae0fb982,外交,5,Iran fires missiles and US strikes Iran facility after reports of faltering peace talks
2026-06-24,AP Middle East,US and Iran to talk Sunday in Switzerland as Tehran says it closed Strait of Hormuz again,https://apnews.com/article/iran-us-israel-lebanon-hezbollah-june-20-2026-6e23fb5f37e23427dbfc2bc80c59bda8,ホルムズ海峡,4,US and Iran to talk Sunday in Switzerland as Tehran says it closed Strait of Hormuz again
2026-06-24,AP Middle East,Vietnam’s To Lam points to the Strait of Hormuz as a warning for Asia-Pacific rivals,https://apnews.com/article/china-trump-shangrila-singapore-hegseth-vietnam-22a71b2d8b20f69c397bd87a63c6ed0a,ホルムズ海峡,4,Vietnam’s To Lam points to the Strait of Hormuz as a warning for Asia-Pacific rivals
2026-06-24,Al Jazeera Iran,Has the worst of the Hormuz crisis passed?,https://www.aljazeera.com/video/counting-the-cost/2026/6/24/has-the-worst-of-the-hormuz-crisis-passed,ホルムズ海峡,4,Has the worst of the Hormuz crisis passed?
2026-06-24,Al Jazeera Iran,Rubio says Iran cannot charge tolls in Hormuz: What we know,https://www.aljazeera.com/news/2026/6/24/rubio-says-iran-cannot-charge-tolls-in-hormuz-what-we-know,ホルムズ海峡,4,Rubio says Iran cannot charge tolls in Hormuz: What we know
2026-06-24,Al Jazeera Iran,"UN begins evacuation of 11,000 sailors stranded in Strait of Hormuz",https://www.aljazeera.com/video/newsfeed/2026/6/23/un-begins-evacuation-of-11000-sailors-stranded-in-strait-of-hormuz,ホルムズ海峡,4,"UN begins evacuation of 11,000 sailors stranded in Strait of Hormuz"
2026-06-24,Al Jazeera Iran,"UN starts evacuating 11,000 stranded sailors from Strait of Hormuz",https://www.aljazeera.com/news/2026/6/23/un-starts-evacuating-11000-stranded-sailors-from-strait-of-hormuz,ホルムズ海峡,4,"UN starts evacuating 11,000 stranded sailors from Strait of Hormuz"
2026-06-24,AP Middle East,Dispute over nuclear inspections shows how US and Iran are negotiating in public,https://apnews.com/article/iran-us-israel-lebanon-june-24-2026-nuclear-grossi-ceasefire-875ee115cacd1f5923052b70f2be4124,核問題,3,Dispute over nuclear inspections shows how US and Iran are negotiating in public
2026-06-24,AP Middle East,"Iranian agents lived in Australia before directing attacks on Sydney and Melbourne, spy chief says",https://apnews.com/article/australia-iran-attacks-sydney-melbourne-d757a2bc2aa540ddff9f6164343e7705,軍事,3,"Iranian agents lived in Australia before directing attacks on Sydney and Melbourne, spy chief says"
2026-06-24,AP Middle East,FACT FOCUS: Netanyahu’s claims about Iran’s nuclear program run counter to public evidence,https://apnews.com/article/iran-nuclear-program-israel-fact-focus-ad9678f602ffcfcdd174cf3d8d653ca5,核問題,3,FACT FOCUS: Netanyahu’s claims about Iran’s nuclear program run counter to public evidence
2026-06-24,AP Middle East,Vance says talks with Iranian officials set ‘good foundation’ for a deal to end the war,https://apnews.com/article/united-states-iran-war-nuclear-negotiations-4bbde727c7095c4ad9da0285ca79f1e1,外交,3,Vance says talks with Iranian officials set ‘good foundation’ for a deal to end the war
2026-06-24,AP Middle East,"US-Iran negotiations end, technical talks will continue after Trump shakes talks with threats",https://apnews.com/article/iran-vance-trump-nuclear-negotiations-2edf9268aae550883252080014013963,外交,3,"US-Iran negotiations end, technical talks will continue after Trump shakes talks with threats"
2026-06-24,AP Middle East,Israel and Iran appear to pause strikes after trading fire for the first time since April ceasefire,https://apnews.com/article/iran-us-ceasefire-hezbollah-israel-c16dc4917512f7436a3921a4b044b98b,外交,3,Israel and Iran appear to pause strikes after trading fire for the first time since April ceasefire
2026-06-24,AP Middle East,A new exchange of fire with Iran in the Gulf tests the fragile ceasefire,https://apnews.com/article/iran-us-bahrain-kuwait-missiles-drones-df859624fb659cb28cec798200cc85d4,外交,3,A new exchange of fire with Iran in the Gulf tests the fragile ceasefire
2026-06-24,AP Middle East,Trump acknowledges calling Netanyahu ‘crazy’ and says Israel is complicating peace talks with Iran,https://apnews.com/article/lebanon-hezbollah-israel-tyre-khaldeh-beirut-b8e36e6248adcb00bc979f2b95514f97,外交,3,Trump acknowledges calling Netanyahu ‘crazy’ and says Israel is complicating peace talks with Iran
2026-06-24,Al Jazeera Iran,"UN nuclear chief says Iran inspections will happen, Tehran says after deal",https://www.aljazeera.com/news/2026/6/24/un-nuclear-chief-says-iran-inspections-will-happen-tehran-says-after-deal,核問題,3,"UN nuclear chief says Iran inspections will happen, Tehran says after deal"
2026-06-24,Al Jazeera Iran,"US’s Rubio says ‘frank’ discussions in Gulf, more talks with Iran next week",https://www.aljazeera.com/news/liveblog/2026/6/24/iran-war-live-trump-tehran-at-odds-over-nuclear-inspections-hormuz,外交,3,"US’s Rubio says ‘frank’ discussions in Gulf, more talks with Iran next week"
2026-06-24,Al Jazeera Iran,Trump disputes Iran’s rejection of nuclear inspectors,https://www.aljazeera.com/video/newsfeed/2026/6/23/trump-disputes-irans-rejection-of-nuclear-inspectors,核問題,3,Trump disputes Iran’s rejection of nuclear inspectors
2026-06-24,Al Jazeera Iran,Iran’s president arrives in Pakistan for peace talks,https://www.aljazeera.com/video/newsfeed/2026/6/23/irans-president-arrives-in-pakistan-for-peace-talks,外交,3,Iran’s president arrives in Pakistan for peace talks
